Best Actor,Demian Bichir,A Better Life,FALSE
Best Actor,George Clooney,The Descendants,FALSE
Best Actor,Jean Dujardin,The Artist,TRUE
Best Actor,Gary Oldman,Tinker Tailor Soldier Spy,FALSE
Best Actor,Brad Pitt,Moneyball,FALSE
Best Actress,Glenn Close,Albert Nobbs,FALSE
Best Actress,Viola Davis,The Help,FALSE
Best Actress,Rooney Mara,The Girl With The Dragon Tattoo,FALSE
Best Actress,Meryl Streep,The Iron Lady,TRUE
Best Actress,Michelle Williams,My Week With Marilyn,FALSE
Best Supporting Actor,Kenneth Branagh,My Week With Marilyn,FALSE
Best Supporting Actor,Jonah Hill,Moneyball,FALSE
Best Supporting Actor,Nick Nolte,Warrior,FALSE
Best Supporting Actor,Christopher Plummer,Beginners,TRUE
Best Supporting Actor,Max von Sydow,Extremely Loud and Incredibly Close,FALSE
Best Supporting Actress,Berenice Bejo,The Artist,FALSE
Best Supporting Actress,Jessica Chastain,The Help,FALSE
Best Supporting Actress,Melissa McCarthy,Bridesmaids,FALSE
Best Supporting Actress,Janet McTeer,Albert Nobbs,FALSE
Best Supporting Actress,Octavia Spencer,The Help,TRUE
Best Director,Michel Hazanavicius,The Artist,TRUE
Best Director,Alexander Payne,The Descendants,FALSE
Best Director,Martin Scorsese,Hugo,FALSE
Best Director,Woody Allen,Midnight In Paris,FALSE
Best Director,Terrence Malick,The Tree of Life,FALSE